0,1,2,3,4,5,6,7,8,10,12,15,16,17,18,19,20,21,22,24,25,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,55,59,60,65,66,69,70,72,74,79,80,82,83,84,85,86,87,88,90,91,92,93,96,97,98,99,100,110,111,130,150,205,210,215,222,229,240,242,243,245,246,247,249,250,255,256,257,260,263,264,265,270,297,299,300,306,310,321,330,336,337,339,340,341,344,345,346,347,362,365,366,369,370,380,381,382,383,384,385,386,388,418,440,449,450,490,499,500,501,502,503,504,505,506,507,508,509,510,511,513,515,516,518,519,520,521,522,525,526,530,532,533,534,535,536,538,540,541,542,544,545,546,547,548,550,552,555,556,561,562,580,581,583,585,586,588,590,591,592,593,594,595,596,598,599,600,605,610,611,630,640,648,650,651,653,655,656,657,658,666,690,699,700,701,710,711,712,720,730,733,740,751,752,753,760,765,767,770,772,773,775,776,777,780,785,787,799,800,810,811,830,846,850,852,853,856,859,860,863,866,880,886,887,889,890,891,899,900,901,902,904,906,907,908,909,910,914,915,920,922,923,925,926,929,930,932,935,936,938,939,943,945,946,947,948,950,952,953,955,959,963,975,978,980,983,984,987,988,991,992,994,995,996,997,998,338
00988cam a2200361   4500,611,,,,2.01609E+13,,,780130s1977\\\\enkb\\\\\\\\\\\\1\0beng\d,\\$z54-009598,,,,,,,\\$a0701122447,,,,,,,,,,,,\\$a7526796;\\$a20327,,,,\9$y200404091814$zVLOAD,\\$aLC$dUtOrBLW,,,,,,,,,\\$aqmm$beng,04$aPA4037$b.F48 1977,,,,,,,,,,,,,,0\$a938/.O1,,,,,,,00$a938.01/F496$bRE,,,,,,,,"1\$aFinley, M. I.$q(Moses I.),$d1912-1986.",,,,,,,,,,,,,14$aThe world of Odysseus /$cby M.I. Finley.,,,,"\\$aSecond edition, revised and reset.",,,,,,"\1$aLondon :$bChatto & Windus,$c1977.",,,,,\\$a192 pages :$bmap ;$c22 cm,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aIncludes bibliographical references and index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\0$aCivilization, Homeric.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20327,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20327,,,,,,,,\\$avolume$bnc$2rdacarrier
01381cam a2200445   4500,612,,,,2.01609E+13,,,750213t19741974onca\\\e\i\\\\\\1\0\eng\c,\\$a   75308478,,,,,,,\\$a0888541597,,,,,,,,,,,,\\$a7526806;\\$a20332,,,,\9$y200404091814$zVLOAD,\\$dUtOrBLW,,,\\$an-cn---,,,,,,\\$aQMM$bENG,\4$aND1841$b.T6;00$aND1841$b.T66 1974,,,,,,,,,,,,,,04$a759.11$220,,,,,,,\\$a759.11 ROY,,,,,,,,,2\$aRoyal Ontario Museum.,,,,,,,,,,,,"10$aCanadian watercolours and drawings in the Royal Ontario Museum/,$fMary Allodi.",,,,,,,,,,"\1$aToronto :$bROM,$c[1974];\4$c©1974",,,,,\\$a2 volumes :$billustrations (some color) ;$c23 x 32 cm,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,"\\$a""In its 2220 entries, the catalogue includes some 1702 pictures in the Samuel Collection, as well as the Paul Kane sketches and the Coleman watercolours.""",,,,\\$aIncludes indexes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a30.00,,,,,,,,"\0$aWatercolor painting, Canadian$vCatalogs.;\0$aDrawing, Canadian$vCatalogs.",,,,,,,,,,"1\$aAllodi, Mary.",,2\$aRoyal Ontario Museum.$bSigmund Samuel Canadiana Collection.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20332,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20332,,,,,,,,\\$avolume$bnc$2rdacarrier
01005cam a2200349 a 4500,613,,,,2.01609E+13,,,000706s1966\\\\quc\\\\e\c\\\\\\\\0deng\c,,,,,,,,,,,,,,,,,,,,\\$a7526844;\\$a20363,,,,\9$y200404091817$zVLOAD,\\$dUtOrBLW,,,\\$an-cn---,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,04$a708.11352$220,,,,,,,0\$a708.11352 PAI,,,,,,,,,,,,,,,,,,,,,"00$aPaintings from the C-I-L collection :$b[exhibited at] the Art Gallery of Hamilton ... November 5 - November 27, 1966.",,,,,,,,,,"\1$a[Montreal] :$b[C-I-L],$c[1966]",,,,,\\$a11 pages,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aCover title.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20$aCanadian Industries Limited$xArt collections.,,,,,"\0$aPainting, Canadian$vExhibitions.",,,,,,,,,,,,2\$aArt Gallery of Hamilton (Ont.);2\$aCanadian Industries Limited.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20363,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20363,,,,,,,,\\$avolume$bnc$2rdacarrier
01211cam a2200373   4500,614,,,,2.01609E+13,,,780320s1963\\\\onc\\\\\\c\\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7526899;\\$a20407,,,,\9$y200404091821$zVLOAD,\\$dUtOrBLW,,,\\$an-cn---,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a759.11,,,,,,,00$a708/.113521 /H181 /1963 /MAR.$bHA,,,,,,,,,2\$aArt Gallery of Hamilton (Ont.),,,,,,,,,,,,"10$aHortense Mattice Gordon, A.R.C.A., 1887-1961 :$ba retrospective exhibition, Art Gallery of Hamilton, March, 1963 : [catalogue].",,,,,,,,,,"\1$a[Hamilton, Ont.] :$bArt Gallery of Hamilton,$c1963.",,,,,\\$a6 unnumbered pages,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aCover title.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10$aGordon, Hortense Mattice,$d1886-1961.",,,,,,,"\0$aPainting, Canadian$vExhibitions.;\0$aArtists$zOntario$zHamilton$xGordon, Hortense Crompton Mattice, 1888-1961.","\0$aHamilton (Ont.)$xAuthors$xArt Galery of Hamilton.;\0$aHamilton (Ont.)$xImprints, 1963.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20407,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20407,,,,,,,,\\$avolume$bnc$2rdacarrier
01045cam a2200349   4500,615,,,,2.01609E+13,,,780320s1961\\\\onca\\\\\c\\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7526922;\\$a20425,,,,\9$y200404091823$zVLOAD,\\$dUtOrBLW,,,\\$an-cn---,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a769.971,,,,,,,00$a708/.113521 /H181 /1961 /MAY$bHA,,00$aCAOH$b1;00$aSETS$b1,,,,,,,2\$aCanadian Society of Graphic Art.,,,,,,,,,,,,"14$aThe Canadian Society of Graphic Art :$b28th annual exhibition, [at] the Art Gallery of Hamilton, 1961 : [catalogue].",,,,,,,,,,"\1$a[Place of publication not identified] :$bThe Society,$c[1961]",,,,,\\$afolder (4 pages) :$billustrations ;$c23 cm,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aGraphic arts$zCanada$vExhibitions.,,,,,,,,,,,,2\$aArt Gallery of Hamilton (Ont.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20425,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20425,,,,,,,,\\$avolume$bnc$2rdacarrier
01234cam a2200397   4500,616,,,,2.01907E+13,,,690717m19699999enkaf\\\\\\\\\\\\\0\eng\d,\\$a   70396661,,\\$aB69-08697 (v. 1),,,,,\\$a019811494X(v.1):$c60/- (per vol.)$z019812466X (v.4)$z0198124651 (v.3)$z0198125194 (v.5),,,,,,,,,,,,\\$a7526938;\\$a20436,,,,\9$y200404091824$zVLOAD,\\$aLC$dUtOrBLW,,,,,\\$aw0w9,,,,\\$aOLU$bENG,\0$aPR1271$b.B58,,,,,,,,,,,,,,0\$a822/.008,,,,,,,00$a822.008 ENG,,,,,,,,,,,,,,,,,,,,,00$aEnglish plays of the nineteenth century /$cedited by Michael R. Booth. -.,3\$aMullin collection,,,,,,,,,"\1$aOxford :$bClarendon P.,$c1969-1976.",,,,,"\\$a5 volumes :$billustrations, plates ;$c23 cm",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1\$a1. Dramas 1800-1850.--2. Dramas 1850-1900.--3. Comedies.--4. Farces.--5. Pantomimes, extravaganzas, and burlesques.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aEnglish drama$y19th century.,,,\7$aDrama.$2lcgft,,,,,,,"1\$aBooth, Michael R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20436,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20436,,,,,,,,\\$avolume$bnc$2rdacarrier
01141cam a2200349   4500,617,,,,2.01609E+13,,,780320s1961\\\\onca\\\\\bc\\\\\\\0d|||\f,,,,,,,,,,,,,,,,,,,,\\$a7526996;\\$a20482,,,,\9$y200404091828$zVLOAD,\\$aNUC$dUtOrBLW,,,\\$an-us---,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a759.13074,,,,,,,10$a708.113521 HAM,,,,,,,,,2\$aArt Gallery of Hamilton (Ont.),,,,,,,,,,,,"10$aAmerican realists :$ban exhibition of American paintings from the eighteenth, nineteenth and twentieth centuries, Art Gallery of Hamilton, March 11 to April 23, 1961 : [catalogue].",,,,,,,,,,"\1$a[Hamilton, Ont.] :$bArt Gallery of Hamilton,$c[1961]",,,,,\\$a95 unnumbered pages :$billustrations,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aBibliography: p. [92-95],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"\0$aPainting, American$vExhibitions.","\0$aHamilton (Ont.)$xAuthors$xArt Gallery of Hamilton.;\0$aHamilton (Ont.)$xImprints, 1961.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20482,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20482,,,,,,,,\\$avolume$bnc$2rdacarrier
00910cam a2200373   4500,618,,,,2.01609E+13,,,781024t19651965maua\\\b\\\\\\\\\\1\eng\d,\\$a   65019305,,,,,,,\\$a039516995X,,,,,,,,,,,,\\$a7527009;\\$a20494,,,,\9$y201101271500$zVLOAD,\\$aLC$dUtOrBLW;\\$cWa,,,,,,,,,\\$aoh$beng,\0$aPZ7.W113$bLy,,,,,,,,,,,,,,,,,,,,,10$aWAB,,,,,,,,"1\$aWaber, Bernard.",,,,,,,,,,,,,"10$aLyle, Lyle, crocodile /$cby Bernard Waber.",,,,,,,,,,"\1$aBoston :$bHoughton Mifflin,$c[1965];\4$c[©1965]",,,,,\\$a48 pages :$bcolor illustrations ;$c28 cm,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\1$aCrocodiles$vFiction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20494,,,,\\$aj,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20494,,,,,,,,\\$avolume$bnc$2rdacarrier
01064cam a2200385   4500,619,,,,2.01609E+13,,,741216t19741975onca\\\\\b\\\\\\1\0\eng\d,,,,\\$a750004568,,,,,,,,,,,,,,,,\\$a7527025;\\$a20505,,,,\9$y201108181136$zVLOAD,\\$a00NL$beng$dUtOrBLW,,,,,,,,,\\$aoh$beng,,,,01$aTX354,,,,,,,,,,,0\$a641.1,,,,,,,0\$a641.1 ROB,,,,,,,,"1\$aRobertson, Elizabeth Chant,$d1899-",,,,,,,,,,,,,14$aThe right combination :$ba guide to food and nutrition.$nElizabeth Chant Robertson.,,,,,,,,,,"\1$aToronto :$bGage Educational Pub.,$c[1974];\4$c©1975",,,,,"\\$axi, 180 pages, 32 unnumbered pages :$bcolor illustrations ;$c28 cm",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aFor use in schools.;\\$aIncludes index.,,,,\\$aBibliography: p. 172-177.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aFood.;\0$aNutrition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20505,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20505,,,,,,,,\\$avolume$bnc$2rdacarrier
01435cam a2200397   4500,620,,,,2.01609E+13,,,781005s1976\\\\onc\\\\\\\\\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7527206;\\$a20638,,,,\9$y200404091840$zVLOAD,\\$dUtOrBLW,,,\\$an-cn-on,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a362.7/1,,,,,,,00$a362/.71097135/B119P$bHA,,,,,,,,,,"2\$aBabysitting Co-operative Project$c(Hamilton, Ont)",,,,,,,,,,,10$aBabysitting Co-op Project :$bparent's survival kit /$c[project staff: Rosalenn Cutler and Susan Sequin ; sponsored by Community Development Advisory Committee].,,,,,,,,,,"\1$a[Hamilton, Ont.] :$bSocial Planning and Research Council of Hamilton and District,$c[1976?]",,,,,\\$a9 unnumbered leaves ;$c28 cm,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$acover title.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20$aBabysitting Co-operative Project$c(Hamilton, Ont)",,,,\0$aBabysitting cooperatives$zOntario$zHamilton.,"\0$aHamilton (Ont.)$xAuthors$xBabysitting Co-operative Project.;\0$aHamilton (Ont.)$xImprints, 1976.",,,,,,,,,"1\$aCutler, Rosalenn.;1\$aSequin, Susan.",,2\$aSocial Planning and Research Council of Hamilton and District.$bCommunity Development Advisory Committee.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20638,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20638,,,,,,,,\\$avolume$bnc$2rdacarrier
01185cam a2200361   4500,621,,,,2.01609E+13,,,781005s1977\\\\onc\\\\\\\\\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7527236;\\$a20660,,,,\9$y200404091841$zVLOAD,\\$dUtOrBLW,,,,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a361.7,,,,,,,00$a361.7/SO16$bHA,,,,,,,,"1\$aSoderquest, Peter.",,,,,,,,,,,,,10$aPublicity plan to attract volunteers to your agencies /$cprepared by Peter Soderquest of United Way.,,,,,,,,,,"\2$aHamilton, Ont. :$bDistributed by Volunteer Bureau, Social Planning and Research Council of Hamilton and District,$c1977.",,,,,\\$a8 leaves.,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aCover title.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aVolunteer workers in social service.,"\0$aHamilton (Ont.)$xAuthors$xSoderquest, Peter.;\0$aHamilton (Ont.)$xImprints, 1977.",,,,,,,,,,,"2\$aSocial Planning and Research Council of Hamilton and District.$bVolunteer Bureau.;2\$aUnited Way (Hamilton, Ont.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20660,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20660,,,,,,,,\\$avolume$bnc$2rdacarrier
01265cam a2200457   4500,622,,,,2.01609E+13,,,780130t19771977oncabc\\\\\\\\\\\\0deng\d,,,,\\$a770131239,,,,\\$a0919822142 (pa. :),,,,,,,,,,,,\\$a7527275;\\$a20692,,,,\9$y200404091844$zVLOAD,\\$aCaOONL$beng$dUtOrBLW;\\$aNLC,,,\\$an-cn-on,,\\$aw2w5,,,,\\$aohm$beng,04$aF5499.C12C7,,,02$aFC3095*,,,,,,,,,,,0\$a971.3/535,,,,,,,30$a971.3535 CRI,,,,,,,,"1\$aCrichton, Robert,$d1839-1923.",,,,,,,,,,,,,14$aThe Rockside pioneers /$cby Robert Crichton.,,,,,,,,,,"\1$aCheltenham, Ont. :$bBoston Mills Press,$c[1977];\4$c©1977",,,,,"\\$a61 unnumbered pages :$billustrations, map, portraits ;$c23 cm.",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,1\$aCredit Valley series ;$vno. 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a3.00 pbk.,,,,,,,,\0$aFrontier and pioneer life$zOntario$zCaledon.,\0$aCaledon (Ont.)$xHistory.;\0$aCaledon (Ont.)$vBiography.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aCredit Valley series ;$v13.,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20692,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20692,,,,,,,,\\$avolume$bnc$2rdacarrier
01058cam a2200397   4500,623,,,,2.01609E+13,,,780523s1977\\\\nyua\\\j\b\\\\\\1\0\eng\d,\\$a   77016481,,,,,,,\\$a0835208400 (pbk. :),,,,,,,,,,,,\\$a7527277;\\$a20694,,,,\9$y200404091844$zVLOAD,\\$aLC$dUtOrBLW,,,,,,,,,\\$aoty$beng,\0$aLB1042$b.B34,,,,,,,,,,,,,,0\$a808/.0685/43,,,,,,,10$a808.068543 BAK,,,,,,,,"1\$aBaker, Augusta,$d1911-1999.",,,,,,,,,,,,,10$aStorytelling :$bart and technique /$cby Augusta Baker and Ellin Greene.,,,,,,,,,,"\1$aNew York :$bBowker,$c1977.",,,,,"\\$axvi, 142 pages :$billustrations ;$c23 cm",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aIncludes index.,,,,\\$aBibliography: p. 113-133.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a6.95pa.,,,,,,,,\0$aStorytelling.,,,,,,,,,,"1\$aGreene, Ellin,$d1927-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20694,,,,\\$aj,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20694,,,,,,,,\\$avolume$bnc$2rdacarrier
01366cam a2200385   4500,624,,,,2.01609E+13,,,770422s1977\\\\oncb\\\\\b\\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7527286;\\$a20701,,,,\9$y200404091844$zVLOAD,\\$dUtOrBLW,,,\\$an-cn-on,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a672.0971352,,,,,,,00$a672/.0971352 /W868B$bHA,,,,,,,,,"2\$aWoods, Gordon & Co.",,,,,,,,,,,,"10$aHamilton-Wentworth steel and related industries substudy :$bfinal report : summary /$cUrban, Regional & Environmental Affairs Group of Woods, Gordon & Co.",,,,,,,,,,"\1$aToronto :$bWoods, Gordon,$c1977.",,,,,\\$a34 leaves :$bmap,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,"\\$aCover title.;\\$a""The substudy is part of the larger Hamilton-Wentworth interregional economic opportunities study and was commissioned by the Regional Municipality [of Hamilton-Wentworth]"".",,,,\\$aIncludes bibliographical references.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aSteel industry and trade$zOntario$zHamilton-Wentworth.;\0$aIndustries$zOntario$zHamilton-Wentworth.,\0$aHamilton-Wentworth (Ont.)$xEconomic policy.,,,,,,,,,,,1\$aHamilton-Wentworth (Ont.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20701,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20701,,,,,,,,\\$avolume$bnc$2rdacarrier
01668cam a2200445   4500,625,,,,2.01609E+13,,,781005s1977\\\\onc\\\\\\b\\\\\\\\0\eng\c,,,,,,,,,,,,,,,,,,,,\\$a7527303;\\$a20715,,,,\9$y200404091846$zVLOAD,\\$dUtOrBLW,,,\\$an-cn-on,,,,,,\\$aoh$beng,,,,,,,,,,,,,,,0\$a331.40971352,,,,,,,00$a331/.40971352/P384S$bHA,,,,,,,,"1\$aPennock, Mike.",,,,,,,,,,,,,"10$aSummary of an employability study of two groups of family benefits assistance recipients /$cby Mike Pennock, Sarah Polidori, Heather Truemner for the Community Employment Strategy Management Committee.",,,,,,,,,,"\1$aHamilton, Ont. :$bSocial Planning and Research Council of Hamilton and Disctrict,$c1977.",,,,,\\$a5 leaves.,,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$aCover title.,,,,\\$aIncludes bibliographical references.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aMothers$xEmployment$zOntario$zHamilton-Wentworth.,"\0$aHamilton (Ont.)$xAuthors$xPennock, Mike.;\0$aHamilton (Ont.)$xAuthors$xPolidori, Sarah.;\0$aHamilton (Ont.)$xAuthors$xTruemner, Heather.;\0$aHamilton (Ont.)$xImprints, 1977.",,,,,,,,,"1\$aPolidori, Sarah.;1\$aTruemner, Heather.",,2\$aSocial Planning and Research Council of Hamilton and District.;1\$aHamilton-Wentworth (Ont.).$bCommunity Employment Strategy Management Committee.,,,,,,3\$aAn employability study of two groups of family benefits assistance recipients.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20715,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20715,,,,,,,,\\$avolume$bnc$2rdacarrier
01196cam a2200433   4500,626,,,,2.01609E+13,,,780504t19771977oncabce\\b\\\\\\\\0\eng\d,,,,\\$a770124410,,,,\\$a0919822207 (pa. :),,,,,,,,,,,,\\$a7527318;\\$a20729,,,,\9$y200404091847$zVLOAD,\\$aCaOONL$beng$dUtOrBLW;\\$aNLC,,,\\$an-cn-on,,,,,,\\$aoh$beng,,,,01$aTK2411,,,,,,,,,,,0\$a621.313/2,,,,,,,10$a621.3132 FIL,,,,,,,,"1\$aFilter, Reinhard,$d1949-",,,,,,,,,,,,,14$aThe Barber dynamo :$ba perspective /$cby Reinhard Filter.,,,,,,,,,,"\1$aCheltenham, Ont. :$bBoston Mills Press,$c[1977];\4$c©1977",,,,,"\\$a60 unnumbered pages :$billustrations, maps, portraits, plans ;$c26 cm.",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,1\$aCredit Valley series ;$v14,,,,,,\\$aBibliography: p. [58-59],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a4.95 pbk.,,,,,,,,\0$aElectric generators.;\6$aElectric generators.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\0$aCredit Valley series ;$v14.,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20729,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20729,,,,,,,,\\$avolume$bnc$2rdacarrier
01021cam a2200337 a 4500,627,,,,2.01609E+13,,,770422s1921\\\\oncac\\e\\\\\\\\\\p\eng\e,\\$a   22005920,,,,,,,,,,,,,,,,,,,\\$a7527401;\\$a20792,,,,\9$y200404091851$zVLOAD,\\$aLC$dUtOrBLW,,,,,,,,,\\$aoh$beng,00$aPR4441.L3 1921,,,,,,,,,,,,,,,,,,,,,\\$a819.1 CARMA,,,,,,,,"1\$aCarman, Bliss,$d1861-1929.",,,,,,,,,,,,,10$aLater poems /$cby Bliss Carman ; with an appreciation by R. H. Hathaway.,,,,,,,,,,"\1$aToronto :$bMcClelland & Stewart,$c1921. --",,,,,"\\$axxix, 203 pages :$billustrations, portrait",,,,,\\$atext$btxt$2rdacontent,\\$aunmediated$bn$2rdamedia,,,,,,,,,,,,,,,,,,,,,,,,,,,"\\$aPoems from three books, The Rough Rider, Echoes from Vagabondia and April Airs.;\\$aText on lining papers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1\$aHathaway, R. H.$q(Rufus Hawtin),$d1869-1933.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20792,,,,,\\$aMARS,\\$aRDA ENRICHED,,,,,,,,,,,,,,,,,,,,,,,,,\\$a20792,,,,,,,,\\$avolume$bnc$2rdacarrier
